date,open,open,low,close,adjclose,volume,ticker,RSIadjclose15,RSIvolume15,
date,17.79999924,18.21899986,17.5,17.76000023,17.76000023,106600,ASLE,,,
date,17.70000076,18.30999947,17.62000084,17.65999985,17.65999985,128700,ASLE,,,
date,17.57999992,17.79999924,16.90999985,16.95000076,16.95000076,103100,ASLE,,,
date,16.64999962,16.87999916,16.13999939,16.17000008,16.17000008,173600,ASLE,,,
date,16.21999931,16.29000092,15.63000011,15.71000004,15.71000004,137800,ASLE,,,
date,15.68000031,16.01000023,15.17000008,15.85999966,15.85999966,116700,ASLE,,,
date,15.75,16.5,15.68999958,16.28000069,16.28000069,85800,ASLE,,,
date,16.38999939,16.57999992,15.97000027,16.02000046,16.02000046,136900,ASLE,,,
date,16,16.17000008,15.68000031,15.81000042,15.81000042,69100,ASLE,,,
date,15.69999981,15.75,15.35999966,15.59000015,15.59000015,92900,ASLE,,,
date,15.39000034,15.58899975,15,15.39999962,15.39999962,108700,ASLE,,,
date,15.46000004,15.52999973,14.94299984,14.97999954,14.97999954,103900,ASLE,,,
date,15.19999981,15.48999977,14.85000038,14.90999985,14.90999985,86600,ASLE,,,
date,14.77999973,14.86999989,14.31999969,14.40999985,14.40999985,183500,ASLE,,,
date,14,14.47000027,13.78499985,14.40999985,14.40999985,194500,ASLE,,,
date,14.38000011,14.61999989,13.98999977,14.22999954,14.22999954,165500,ASLE,11.00337953,57.10038289,
date,14.43999958,14.72999954,13.90999985,14.18000031,14.18000031,142500,ASLE,10.79201329,53.16786239,
date,14.27000046,14.28999996,13.52000046,13.64999962,13.64999962,139900,ASLE,8.859235022,52.72803497,
date,13.81000042,13.81000042,13.02000046,13.22999954,13.22999954,147100,ASLE,7.68990594,53.86050904,
date,13.11999989,14.31999969,13.11999989,14.22999954,14.22999954,148700,ASLE,30.94225264,54.12219352,
date,14.39999962,14.60999966,13.94999981,14.38000011,14.38000011,88400,ASLE,33.62915022,44.03701493,
date,14.43999958,14.43999958,13.85999966,14.06000042,14.06000042,115300,ASLE,30.88268776,48.61372626,
date,13.84000015,14.21000004,13.40999985,13.48999977,13.48999977,82800,ASLE,26.71826313,43.95996315,
date,13.64000034,13.71000004,13.25,13.57999992,13.57999992,59300,ASLE,28.35270998,40.92481554,
date,13.76000023,14.06999969,13.44999981,14.05000019,14.05000019,126400,ASLE,36.30184681,51.22681447,
date,13.98999977,14.80000019,13.98999977,14.73999977,14.73999977,123500,ASLE,45.76644578,50.81645967,40.64723171
date,15.09000015,15.47900009,14.88000011,14.97999954,14.97999954,99300,ASLE,48.61197175,47.42016165,43.06895491
date,14.48999977,15.27999973,14.46000004,15.27000046,15.27000046,126900,ASLE,51.88060653,51.39009401,45.84994679
date,15.27000046,15.36100006,14.77200031,15.06000042,15.06000042,71500,ASLE,49.44070486,44.21116405,44.22056223
date,15,15.35999966,14.59000015,14.81999969,14.81999969,62900,ASLE,46.74859812,43.20726738,42.42568175
date,14.94999981,15.52999973,14.94999981,15.5,15.5,60100,ASLE,54.30232836,42.86771234,48.58492138
date,15.35999966,15.84000015,15.22000027,15.77000046,15.77000046,66000,ASLE,56.90305964,43.86370091,50.76348267
date,15.68999958,15.68999958,14.96399975,15.11999989,15.11999989,64400,ASLE,49.61916988,43.64263849,45.88760628
date,15.09000015,15.63500023,15.05500031,15.21000004,15.21000004,81300,ASLE,50.55806257,46.68353047,46.62700908
date,15.14999962,16.09000015,15.14999962,15.68000031,15.68000031,149900,ASLE,55.22667738,56.81710619,50.319773
date,15.77999973,15.88000011,15.27000046,15.36999989,15.36999989,87800,ASLE,51.77194475,47.97343036,48.03631699
date,14.82999992,15.56000042,14.60000038,15.51000023,15.51000023,75200,ASLE,53.18886289,46.40326842,49.12243222
